,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Mon,Aug 19,2019",East African Shuttles,2019-08-18 00:45:29.623844,Arusha,Nairobi,2500,2019-08-19,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Mon,Aug 19,2019",East African Shuttles,2019-08-18 00:45:29.623862,Arusha,Nairobi,2500,2019-08-19,Arusha,Nairobi,22.0
2,SIRARE,08:00 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:33.122191,Awendo,Sirare,1000,2019-08-19,Awendo,Sirare,24.0
3,SIRARE,07:30 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:33.122215,Awendo,Sirare,1000,2019-08-19,Awendo,Sirare,32.0
4,Amagoro,07:10 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:45:35.780355,Nakuru,Kimaiti,700,2019-08-19,Nakuru,Kimaiti,66.0
5,Amagoro,08:30 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:45:35.780372,Nakuru,Kimaiti,800,2019-08-19,Nakuru,Kimaiti,48.0
6,KERICHO,12:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416926,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,16.0
7,KERICHO,12:30 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416948,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,27.0
8,KERICHO,12:45 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416951,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,31.0
9,KERICHO,01:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416953,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,21.0
10,KERICHO,02:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416956,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,29.0
11,KERICHO,03:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416958,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,27.0
12,KERICHO,06:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:47.416960,Kisumu,Kericho,1400,2019-08-19,Kisumu,Kericho,32.0
13,Cheptais,05:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:45:49.629923,Westlands,Cheptais,900,2019-08-19,Westlands,Cheptais,66.0
14,Cheptais,05:30 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:45:49.629943,Westlands,Cheptais,900,2019-08-19,Westlands,Cheptais,66.0
15,Railways,08:00 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:54.544425,Rongo,Nairobi,1000,2019-08-19,Rongo,Nairobi,18.0
16,Railways,08:30 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:54.544443,Rongo,Nairobi,1000,2019-08-19,Rongo,Nairobi,25.0
17,Railways,09:15 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:54.544446,Rongo,Nairobi,1000,2019-08-19,Rongo,Nairobi,32.0
18,Railways,09:15 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:54.544449,Rongo,Nairobi,1000,2019-08-19,Rongo,Nairobi,28.0
19,Railways,09:30 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:45:54.544451,Rongo,Nairobi,1000,2019-08-19,Rongo,Nairobi,28.0
20,,03:00 PM,"Mon,Aug 19,2019",Crown Bus,2019-08-18 00:45:56.486936,Nakuru,Mombasa,1500,2019-08-19,Nakuru,Mombasa,0.0
21,Busia,07:30 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:02.430352,Kericho,Busia,800,2019-08-19,Kericho,Busia,13.0
22,Busia,06:45 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:02.430370,Kericho,Busia,800,2019-08-19,Kericho,Busia,26.0
23,Busia,07:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:02.430373,Kericho,Busia,800,2019-08-19,Kericho,Busia,22.0
24,Esidende,06:30 AM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:05.000145,Kangemi,Koyonzo,600,2019-08-19,Kangemi,Koyonzo,67.0
25,Esidende,05:30 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:05.000167,Kangemi,Koyonzo,600,2019-08-19,Kangemi,Koyonzo,67.0
26,Cheptais,05:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:07.402926,Naivasha,Chesikaki,900,2019-08-19,Naivasha,Chesikaki,66.0
27,Cheptais,05:30 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:07.402945,Naivasha,Chesikaki,900,2019-08-19,Naivasha,Chesikaki,66.0
28,Kangemi,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:10.169835,Kwa Muthoni,Uthiru,1000,2019-08-19,Kwa%20muthoni,Uthiru,48.0
29,Kangemi,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:10.169854,Kwa Muthoni,Uthiru,1000,2019-08-19,Kwa%20muthoni,Uthiru,48.0
30,Busia,07:30 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:15.964294,Maseno,Busia,300,2019-08-19,Maseno,Busia,15.0
31,Busia,06:45 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:15.964313,Maseno,Busia,300,2019-08-19,Maseno,Busia,26.0
32,Busia,07:00 PM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:15.964316,Maseno,Busia,300,2019-08-19,Maseno,Busia,22.0
33,Country Bus,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:18.201787,Kimilili,Nakuru,1000,2019-08-19,Kimilili,Nakuru,48.0
34,Amagoro,07:10 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:20.540507,Uthiru,Kanduyi,700,2019-08-19,Uthiru,Kanduyi,66.0
35,Amagoro,08:30 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:20.540534,Uthiru,Kanduyi,800,2019-08-19,Uthiru,Kanduyi,48.0
36,Country Bus,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:23.422448,Sirisia,Nairobi,1000,2019-08-19,Sirisia,Nairobi,48.0
37,Country Bus,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:27.232314,Chimoi,Uthiru,1000,2019-08-19,Chimoi,Uthiru,48.0
38,Kangemi,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:29.800583,Kitale,Uthiru,1000,2019-08-19,Kitale,Uthiru,48.0
39,Kangemi,09:00 PM,"Mon,Aug 19,2019",Greenline,2019-08-18 00:46:29.800604,Kitale,Uthiru,1000,2019-08-19,Kitale,Uthiru,48.0
40,,03:00 PM,"Mon,Aug 19,2019",Crown Bus,2019-08-18 00:46:31.743051,Mbale,Mombasa,2000,2019-08-19,Mbale,Mombasa,0.0
41,Railways,08:30 AM,"Mon,Aug 19,2019",EasyCoach,2019-08-18 00:46:37.002121,Kakamega,Nairobi,1450,2019-08-19,Kakamega,Nairobi,25.0
