,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Thu,Sep 05,2019",East African Shuttles,2019-09-04 00:45:24.163560,Arusha,Nairobi,2500,2019-09-05,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Thu,Sep 05,2019",East African Shuttles,2019-09-04 00:45:24.163579,Arusha,Nairobi,2500,2019-09-05,Arusha,Nairobi,22.0
2,SIRARE,08:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:27.349744,Awendo,Sirare,1000,2019-09-05,Awendo,Sirare,20.0
3,SIRARE,07:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:27.349763,Awendo,Sirare,1000,2019-09-05,Awendo,Sirare,28.0
4,Amagoro,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:30.282671,Nakuru,Kimaiti,700,2019-09-05,Nakuru,Kimaiti,66.0
5,Amagoro,08:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:30.282691,Nakuru,Kimaiti,800,2019-09-05,Nakuru,Kimaiti,48.0
6,KERICHO,11:45 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248626,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,29.0
7,KERICHO,12:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248655,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,15.0
8,KERICHO,12:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248660,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,22.0
9,KERICHO,12:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248664,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,21.0
10,KERICHO,01:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248668,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,22.0
11,KERICHO,02:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248672,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,30.0
12,KERICHO,03:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248676,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,28.0
13,KERICHO,06:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248680,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,32.0
14,KERICHO,11:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:42.248684,Kisumu,Kericho,1400,2019-09-05,Kisumu,Kericho,25.0
15,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:46.640537,Westlands,Cheptais,1000,2019-09-05,Westlands,Cheptais,65.0
16,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:46.640557,Westlands,Cheptais,1000,2019-09-05,Westlands,Cheptais,66.0
17,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:46.640560,Westlands,Cheptais,800,2019-09-05,Westlands,Cheptais,67.0
18,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:46.640563,Westlands,Cheptais,800,2019-09-05,Westlands,Cheptais,67.0
19,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:45:46.640565,Westlands,Cheptais,800,2019-09-05,Westlands,Cheptais,48.0
20,Railways,08:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.190982,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,29.0
21,Railways,08:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191009,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,30.0
22,Railways,08:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191014,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,17.0
23,Railways,09:15 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191018,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,29.0
24,Railways,09:15 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191022,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,21.0
25,Railways,09:15 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191026,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,28.0
26,Railways,09:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:52.191031,Rongo,Nairobi,1000,2019-09-05,Rongo,Nairobi,26.0
27,Busia,07:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:45:59.253508,Kericho,Busia,800,2019-09-05,Kericho,Busia,19.0
