search_origin,search_destination
Sirare,Awendo
Kimaiti,Nakuru
Kericho,Kisumu
Cheptais,Westlands
Nairobi,Rongo
Mombasa,Nakuru
Busia,Kericho
Koyonzo,Kangemi
Chesikaki,Naivasha
Uthiru,Kwa%20muthoni
Busia,Maseno
Nakuru,Kimilili
Kanduyi,Uthiru
Nairobi,Sirisia
Uthiru,Chimoi
Uthiru,Kitale
Mombasa,Mbale
Nairobi,Kakamega
Westlands,Kimaiti
Parkside%20hotel,Arusha
Kakamega,Naivasha
Nakuru,Busia
Cheptais,Uthiru
Z,Kangemi
Nakuru,Jua%20kali
Kangemi,Moisbridge
Chwele,Uthiru
Uthiru,Lwakhakha
Mbita,Homa%20Bay
Kwa%20muthoni,Nakuru
Westlands,Tulienge
Turbo,Naivasha
Chavakali,Kangemi
Ndori,Usenge
Kocholia,Uthiru
Uthiru,Cheptais
Lwandanyi,Total
Mailisaba,Main%20Office
Sirende,Westlands
Jua%20kali,Country%20bus
Westlands,Cheptais
Naivasha,Webuye
Mungati,Nakuru
Siaya,Kisumu
Korosiandet,Nakuru
Lwandeti,Kangemi
Nakuru,Country%20bus
Webuye,Malaba
Country%20bus,Kimwanga
Nakuru,Tulienge
Siyenga,Uthiru
Mumias,Kangemi
Moisbridge,Main%20Office
Koyonzo,Uthiru
Lwandanyi,Uthiru
Maseno,Kisumu
Uthiru,Kimilili
Turbo,Total
Mbale,Kisumu
Kangemi,Kapenguria
Nakuru,Lugulu
Country%20bus,Jua%20kali
Westlands,Wamono
Tulienge,Total
Kimwanga,Country%20bus
Eldoret,Nakuru
Westlands,Eldoret
Chwele,Westlands
Nairobi,Maseno
Lwandeti,Naivasha
Nairobi,Chimoi
Westlands,Matunda
Kisumu,Kericho
Oyugis,Narok
Awendo,Sirare
Kaimosi,Kapsabet
Eldoret,Bungoma
Nairobi,Ndori
Nairobi,Kimwanga
Kimaiti,Kangemi
Kangemi,Bungoma
Kangemi,Eldoret
Eldoret,Malaba
Cheptais,Kangemi
Naivasha,Chwele
Koteko,Westlands
Siaya,Kericho
Chwele,Naivasha
Marsabit,Isiolo
Kericho,Mbale
Country%20bus,Cheptais
Lwakhakha,Westlands
Kanduyi,Kangemi
Turbo,Country%20bus
Nakuru,Siaya
Kakamega,Mombasa
Siyenga,Westlands
Uthiru,Bukembe
Mailisaba,Naivasha
Country%20bus,Lwandeti
Soy,Main%20Office
Naivasha,Kipkaren
Country%20bus,Gatua
Kitale,Uthiru
Jua%20kali,Kangemi
Misikhu,Naivasha
Kwa%20muthoni,Main%20Office
Gatua,Naivasha
Matunda,Nakuru
Country%20bus,Chimoi
Westlands,Malaba
Nairobi,Mumias
Lwandanyi,Country%20bus
Country%20bus,Namwela
Nairobi,Ostrich
Ndori,Kisumu
Kisii,Rongo
Kanduyi,Nakuru
Naivasha,Kangemi
Uthiru,Chwele
Nakuru,Bukembe
Uthiru,Ostrich
Malaba,Country%20bus
Nairobi,Tulienge
Nairobi,Kericho
Nairobi,Kimaiti
Eldoret,Kangemi
Lwakhakha,Nakuru
Koyonzo,Westlands
Korosiandet,Eldoret
Village%20Inn,Uthiru
Sirisia,Westlands
Uthiru,Kocholia
Eldoret,Westlands
Nairobi,Kisumu
Kapsabet,Kaimosi
