,Route,Departure,Duration,Distance,Arrival,Adult Fare,Children Fare,Special Price,Operator,origin_searched,destination_searched,date_searched,seats_remaining
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-04,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-05,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-06,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-07,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-08,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-09,52
0,Dar es salaam to Arusha,06:00:00,8,630,16:00:00,33000,33000,33000,Book 52 Seats Available,4,1,2019-08-10,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-04,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-05,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-06,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-07,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-08,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-09,52
0,Dar es salaam to Karatu,06:00:00,,,16:00:00,36000,36000,36000,Book 52 Seats Available,4,9,2019-08-10,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-04,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-05,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-06,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-07,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-08,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-09,52
0,Dar es salaam to Moshi,06:00:00,,,16:00:00,30000,30000,30000,Book 52 Seats Available,4,5,2019-08-10,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-04,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-05,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-06,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-07,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-08,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-09,52
0,Dar es salaam to Nairobi,05:45:00,,,15:45:00,65000,65000,65000,Book 52 Seats Available,4,3,2019-08-10,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-04,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-05,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-06,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-07,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-08,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-09,52
0,Dar es salaam to Rombo,06:00:00,,,16:00:00,28000,28000,28000,Book 52 Seats Available,4,2,2019-08-10,52
