,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Saturday,August 10th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.96,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
1,07:30 AM                                                             Saturday,August 10th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Saturday,0.96,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
2,09:30 AM                                                             Saturday,August 10th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Saturday,0.96,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
3,10:00 AM                                                             Saturday,August 10th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Saturday,0.96,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
4,10:30 AM                                                             Saturday,August 10th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Saturday,0.92,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
5,11:30 AM                                                             Saturday,August 10th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Saturday,0.92,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
6,03:30 PM                                                             Saturday,August 10th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Saturday,0.88,2019-08-10,Dar es Salaam,Dodoma,2019-08-09 00:17:30.588672
7,06:00 AM                                                             Saturday,August 10th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-10,Dodoma,Moshi,2019-08-09 00:17:30.588672
8,06:00 AM                                                             Sunday,August 11th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Dodoma,Moshi,2019-08-09 00:17:30.588672
9,06:00 AM                                                             Monday,August 12th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.93,2019-08-12,Dodoma,Moshi,2019-08-09 00:17:30.588672
10,06:00 AM                                                             Saturday,August 10th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.95,2019-08-10,Mbeya,Dodoma,2019-08-09 00:17:30.588672
11,06:00 AM                                                             Sunday,August 11th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Mbeya,Dodoma,2019-08-09 00:17:30.588672
